tileset_id	style_id	draft	style_name
probablefutures.40105-east-v3	clhyrro7r028j01quaigo1l8g	true	Days above 35°C (95°F) -- v3
probablefutures.40105-east-v3-2	cmseu7fvp00gq01s8e3ev2e73	false	Days above 35°C (95°F) -- v3
probablefutures.40105-east-v3-2	cmseu7fvp00gq01s8e3ev2e73	true	Days above 35°C (95°F) -- v3
probablefutures.40105-era5-east-v4	cmtam709s00in01qzcm5o6mcn	false	40105 era5 -- v4
probablefutures.40105-era5-east-v4	cmtam709s00in01qzcm5o6mcn	true	40105 era5 -- v4
probablefutures.40105-era5-west-v4	cmtam709s00in01qzcm5o6mcn	false	40105 era5 -- v4
probablefutures.40105-era5-west-v4	cmtam709s00in01qzcm5o6mcn	true	40105 era5 -- v4
probablefutures.40105-hires-east-v4	cmsnf627o014x01sd6wnoa5bl	false	40105 hi-res -- v4
probablefutures.40105-hires-east-v4	cmsnf627o014x01sd6wnoa5bl	true	40105 hi-res -- v4
probablefutures.40105-hires-p02-east-v4	cmsnf627o014x01sd6wnoa5bl	false	40105 hi-res -- v4
probablefutures.40105-hires-p02-east-v4	cmsnf627o014x01sd6wnoa5bl	true	40105 hi-res -- v4
probablefutures.40105-hires-p02-west-v4	cmsnf627o014x01sd6wnoa5bl	false	40105 hi-res -- v4
probablefutures.40105-hires-p02-west-v4	cmsnf627o014x01sd6wnoa5bl	true	40105 hi-res -- v4
probablefutures.40105-hires-p08-east-v4	cmsnf627o014x01sd6wnoa5bl	false	40105 hi-res -- v4
probablefutures.40105-hires-p08-east-v4	cmsnf627o014x01sd6wnoa5bl	true	40105 hi-res -- v4
probablefutures.40105-hires-p08-west-v4	cmsnf627o014x01sd6wnoa5bl	false	40105 hi-res -- v4
probablefutures.40105-hires-p08-west-v4	cmsnf627o014x01sd6wnoa5bl	true	40105 hi-res -- v4
probablefutures.40105-hires-test-east-v1	cmo1cw51200yi01se5gcuewdd	false	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-east-v1	cmo1cw51200yi01se5gcuewdd	true	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-east1-v2	cmo1fys0r006p01qw2e6ibvhv	false	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-east1-v2	cmo1fys0r006p01qw2e6ibvhv	true	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-east2-v2	cmo1fys0r006p01qw2e6ibvhv	false	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-east2-v2	cmo1fys0r006p01qw2e6ibvhv	true	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-west-v1	cmo1cw51200yi01se5gcuewdd	false	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-west-v1	cmo1cw51200yi01se5gcuewdd	true	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-west-v2	cmo1fys0r006p01qw2e6ibvhv	false	Days above 35°C (95°F) -- v3
probablefutures.40105-hires-test-west-v2	cmo1fys0r006p01qw2e6ibvhv	true	Days above 35°C (95°F) -- v3
